Äŕňŕ;Ęîđäčíŕňű,0;;Ďëîůŕäü ďîćŕđŕ, ęě2;Ńđĺäí˙˙ ňĺěďĺđŕňóđŕ âîçäóőŕ, Ń0;Ńđĺäí˙˙ îňíîńčňĺëüíŕ˙ âëŕćíîńňü âîçäóőŕ, %;Ęîëč÷ĺńňâî îńŕäęîâ, ěě;Íŕďđŕâëĺíčĺ âĺňđŕ â 12:00;Ńđĺäí˙˙ ńęîđîńňü âĺňđŕ, ě/c;Çŕăđ˙çíĺíčĺ 137Cs, ęÁę/ě2;Ďđčěĺ÷ŕíčĺ
;ń,ř;â,ä;;;;;;;;
05.04.16;52.548801 ;31.966781 ;5,37 ;5,6;47,8;0;Ń;1,1;;
05.04.16;52.843424 ;34.359054 ;7,7 ;5,6;47,8;0;Ń;1,1;;
05.04.16;53.127800 ;31.458600 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.114099 ;31.452899 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;52.844699 ;31.633700 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;52.870099 ;31.908599 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;52.871999 ;31.930799 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;52.696100 ;31.872300 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;52.701399 ;32.187499 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.058400 ;32.955500 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.094599 ;32.994299 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.214499 ;32.473900 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;52.109500 ;31.823599 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;52.525000 ;33.099500 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;52.522600 ;33.110999 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;52.516900 ;33.106700 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;52.606000 ;33.729400 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.151800 ;34.037900 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.152400 ;34.035900 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.239899 ;33.921499 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.241700 ;33.949400 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.283300 ;34.123700 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.400499 ;34.547599 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.406199 ;34.531599 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.407700 ;34.545399 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.616900 ;33.095899 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.659600 ;33.046199 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;52.937899 ;33.502599 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;52.937200 ;33.497700 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.094599 ;32.994299 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.058400 ;32.955500 ;N/A;5,6;47,8;0;Ń;1,1;;
05.04.16;53.214499 ;32.473900 ;N/A;5,6;47,8;0;Ń;1,1;;
06.04.16;53.183200 ;31.754199 ;N/A;9,1;44,5;0;Ţ;1,1;;
06.04.16;53.183500 ;31.747299 ;N/A;9,1;44,5;0;Ţ;1,1;;
06.04.16;53.179599 ;31.743599 ;N/A;9,1;44,5;0;Ţ;1,1;;
06.04.16;53.165399 ;31.746900 ;N/A;9,1;44,5;0;Ţ;1,1;;
06.04.16;52.896200 ;31.580300 ;N/A;9,1;44,5;0;Ţ;1,1;;
06.04.16;52.027700 ;34.403400 ;N/A;9,1;44,5;0;Ţ;1,1;;
06.04.16;52.030800 ;34.411000 ;N/A;9,1;44,5;0;Ţ;1,1;;
06.04.16;52.686599 ;34.660099 ;N/A;9,1;44,5;0;Ţ;1,1;;
06.04.16;52.687000 ;34.675100 ;N/A;9,1;44,5;0;Ţ;1,1;;
06.04.16;53.497299 ;34.317399 ;N/A;9,1;44,5;0;Ţ;1,1;;
06.04.16;53.502400 ;34.310399 ;N/A;9,1;44,5;0;Ţ;1,1;;
06.04.16;53.503200 ;34.317700 ;N/A;9,1;44,5;0;Ţ;1,1;;
06.04.16;53.610200 ;34.420200 ;N/A;9,1;44,5;0;Ţ;1,1;;
06.04.16;53.688400 ;33.162800 ;N/A;9,1;44,5;0;Ţ;1,1;;
08.04.16;53.012717 ;33.056488 ;12,73 ;9,9;67,6;0;ŢÂ;1,4;;
08.04.16;53.088200 ;32.516600 ;N/A;9,9;67,6;0;ŢÂ;1,4;;
08.04.16;53.087900 ;32.506100 ;N/A;9,9;67,6;0;ŢÂ;1,4;;
08.04.16;52.945199 ;32.796299 ;N/A;9,9;67,6;0;ŢÂ;1,4;;
08.04.16;52.942599 ;32.808000 ;N/A;9,9;67,6;0;ŢÂ;1,4;;
08.04.16;52.939899 ;32.798900 ;N/A;9,9;67,6;0;ŢÂ;1,4;;
